profil,vitesse_ms,angle_deg,CL,CD,pression_PSI
NACA-0012,8.9,2,0.060841661,-0.0022436626,-0.009037215
NACA-0012,8.9,2.5,0.064176836,-0.0022739824,-0.0092252062
NACA-0012,8.9,3,0.06751201,-0.0023043021,-0.0094131975
NACA-0012,8.9,3.5,0.070847184,-0.0023346219,-0.0096011887
NACA-0012,8.9,4,0.074182358,-0.0023649417,-0.00978918
NACA-0012,8.9,4.5,0.077517532,-0.0023952614,-0.0099771712
NACA-0012,8.9,5,0.080852706,-0.0024255812,-0.010165162
NACA-0012,8.9,5.5,0.081054838,-0.0036181586,-0.010377616
NACA-0012,8.9,6,0.08125697,-0.004810736,-0.01059007
NACA-0012,8.9,6.5,0.081459101,-0.0060033134,-0.010802523
NACA-0012,8.9,7,0.081661233,-0.0071958909,-0.011014977
NACA-0012,8.9,7.5,0.081863365,-0.0083884683,-0.01122743
NACA-0012,8.9,8,0.082065497,-0.0095810457,-0.011439884
NACA-0012,8.9,8.5,0.082267629,-0.010773623,-0.011652337
NACA-0012,8.9,9,0.08246976,-0.011966201,-0.011864791
NACA-0012,8.9,9.5,0.082671892,-0.013158778,-0.012077244
NACA-0012,8.9,10,0.082874024,-0.014351355,-0.012289698
NACA-0012,8.9,10.5,0.083682551,-0.014866791,
NACA-0012,8.9,11,0.084491078,-0.015382227,
NACA-0012,8.9,11.5,0.085299605,-0.015897663,
NACA-0012,8.9,12,0.086108132,-0.016413099,
NACA-0012,8.9,12.5,0.086916659,-0.016928535,
NACA-0012,8.9,13,0.087725186,-0.017443971,
NACA-0012,8.9,13.5,0.088533713,-0.017959407,
NACA-0012,8.9,14,0.08934224,-0.018474843,
NACA-0012,8.9,14.5,0.090150767,-0.018990279,
NACA-0012,8.9,15,0.090959294,-0.019505715,
NACA-0012,8.9,15.5,,,
NACA-0012,8.9,16,,,
NACA-0012,8.9,16.5,,,
NACA-0012,8.9,17,,,
NACA-0012,8.9,17.5,,,
NACA-0012,8.9,18,,,
NACA-0012,8.9,18.5,,,
NACA-0012,8.9,19,,,
NACA-0012,8.9,19.5,,,
NACA-0012,8.9,20,,,-0.011148625
NACA-0012,11.2,-5,-0.015316509,-0.0033185769,
NACA-0012,11.2,-4.5,-0.010874721,-0.0033185769,
NACA-0012,11.2,-4,-0.0064329337,-0.0033185769,
NACA-0012,11.2,-3.5,-0.0019911461,-0.0033185769,
NACA-0012,11.2,-3,0.0024506414,-0.0033185769,
NACA-0012,11.2,-2.5,0.0068924289,-0.0033185769,
NACA-0012,11.2,-2,0.011334216,-0.0033185769,
NACA-0012,11.2,-1.5,0.015776004,-0.0033185769,
NACA-0012,11.2,-1,0.020217792,-0.0033185769,
NACA-0012,11.2,-0.5,0.024659579,-0.0033185769,
NACA-0012,11.2,0,0.029101367,-0.0033185769,
NACA-0012,11.2,0.5,0.033543154,-0.0033185769,
NACA-0012,11.2,1,0.037984942,-0.0033185769,
NACA-0012,11.2,1.5,0.042426729,-0.0033185769,
